Date,Open,High,Low,Close
2021-06-22,128.79,130.69,128.3,130.6
2021-06-23,130.39,130.93,129.87,130.32
2021-06-24,131.06,131.24,129.57,130.04
2021-06-25,130.09,130.51,129.46,129.75
2021-06-28,130.04,131.84,129.98,131.38
2021-06-29,131.4,133.04,130.96,132.89
2021-06-30,132.73,133.94,132.44,133.5
2021-07-01,133.15,133.86,132.33,133.8
2021-07-02,134.42,136.47,134.27,136.43
2021-07-06,136.53,139.54,136.53,138.43
2021-07-07,139.92,141.23,139.06,140.92
2021-07-08,138.01,140.42,137.12,139.62
2021-07-09,139.15,141.97,139.05,141.45
2021-07-12,142.52,142.63,140.36,140.85
2021-07-13,140.39,143.74,140.0,141.96
2021-07-14,144.36,145.79,143.95,145.38
2021-07-15,145.47,146.21,143.38,144.73
2021-07-16,144.71,145.98,142.2,142.69
2021-07-19,140.12,140.43,138.09,138.85
2021-07-20,139.84,143.39,139.35,142.46
2021-07-21,141.86,142.44,140.98,141.73
2021-07-22,142.26,144.46,142.13,143.09
2021-07-23,143.82,144.97,143.21,144.81
2021-07-26,144.53,146.05,143.97,145.23
2021-07-27,145.36,145.44,141.88,143.06
2021-07-28,141.15,143.26,138.94,141.32
2021-07-29,141.04,142.85,140.93,141.96
2021-07-30,140.73,142.64,140.47,142.18
2021-08-02,142.66,143.24,141.58,141.85
2021-08-03,142.13,144.3,141.51,143.64
2021-08-04,143.55,144.06,142.59,143.24
2021-08-05,143.27,144.11,142.48,143.35
2021-08-06,142.87,143.61,142.17,142.66
2021-08-09,142.72,143.21,142.06,142.61
2021-08-10,142.96,144.2,141.84,142.14
2021-08-11,142.58,143.23,142.07,142.39
2021-08-12,142.71,145.5,142.37,145.35
2021-08-13,145.43,145.89,144.74,145.55
2021-08-16,145.01,147.59,142.99,147.53
2021-08-17,146.66,148.07,145.54,146.62
2021-08-18,146.24,147.13,142.67,142.88
2021-08-19,141.58,144.48,141.06,143.21
2021-08-20,143.93,144.97,143.29,144.66
2021-08-23,144.78,146.62,144.37,146.15
2021-08-24,145.89,147.27,145.6,146.06
2021-08-25,146.25,146.74,144.28,144.83
