Date,Open,High,Low,Close
2021-06-22,120.68,121.32,120.0,121.26
2021-06-23,121.02,122.01,120.76,121.05
2021-06-24,121.62,121.97,121.23,121.42
2021-06-25,120.93,121.56,120.5,121.43
2021-06-28,121.6,121.71,120.34,121.46
2021-06-29,121.59,121.94,120.62,121.2
2021-06-30,120.92,121.18,120.29,121.02
2021-07-01,120.66,121.51,120.46,121.37
2021-07-02,122.07,124.3,121.98,124.16
2021-07-06,124.54,125.32,123.49,125.08
2021-07-07,126.04,126.17,125.04,125.36
2021-07-08,122.94,124.49,122.93,123.94
2021-07-09,123.93,124.63,123.46,124.42
2021-07-12,125.07,125.95,124.51,125.86
2021-07-13,125.92,126.93,125.56,126.22
2021-07-14,126.83,128.19,126.79,127.11
2021-07-15,127.52,127.57,125.42,125.89
2021-07-16,126.54,126.69,125.04,125.85
2021-07-19,124.98,125.1,122.42,123.48
2021-07-20,124.42,125.93,123.26,125.1
2021-07-21,125.02,126.47,124.92,126.43
2021-07-22,126.72,127.35,126.38,127.29
2021-07-23,129.28,132.23,128.66,131.85
2021-07-26,132.16,133.06,131.14,132.86
2021-07-27,133.07,133.22,128.96,130.74
2021-07-28,135.11,137.08,134.09,134.9
2021-07-29,134.95,135.46,134.35,134.58
2021-07-30,133.85,134.12,133.08,133.54
2021-08-02,133.93,134.15,132.62,133.67
2021-08-03,133.95,134.54,132.15,134.44
2021-08-04,134.16,134.46,133.3,133.94
2021-08-05,134.49,135.15,133.66,135.05
2021-08-06,134.85,135.27,134.02,134.55
2021-08-09,134.75,135.98,134.15,135.71
2021-08-10,136.13,136.56,135.17,135.6
2021-08-11,135.98,136.47,135.07,135.08
2021-08-12,134.78,136.09,134.24,135.99
2021-08-13,136.04,136.64,135.83,136.52
2021-08-16,136.32,137.15,134.11,137.09
2021-08-17,136.54,137.05,134.89,135.46
2021-08-18,135.3,135.9,134.13,134.26
2021-08-19,133.25,135.15,133.07,134.49
2021-08-20,134.8,136.34,134.06,136.22
2021-08-23,136.76,139.64,136.4,138.81
2021-08-24,139.38,140.83,139.11,140.02
2021-08-25,140.38,140.94,140.13,140.83
2021-08-26,140.5,141.17,140.11,140.2
2021-08-27,140.41,143.24,140.25,142.74
2021-08-30,143.13,144.69,142.9,143.32
2021-08-31,143.87,143.9,143.01,143.43
2021-09-01,143.73,144.97,143.61,143.94
2021-09-02,143.94,144.24,141.93,142.03
2021-09-03,141.82,142.89,141.15,142.48
2021-09-07,142.57,143.29,142.36,143.01
2021-09-08,142.83,143.13,141.74,142.43
2021-09-09,142.58,143.04,141.92,142.28
2021-09-10,142.94,143.45,139.5,139.64
2021-09-13,140.7,141.69,140.01,141.08
2021-09-14,141.74,142.1,140.5,141.29
2021-09-15,141.52,143.18,140.11,143.16
2021-09-16,142.69,143.03,141.15,142.35
2021-09-17,141.77,142.19,139.24,139.56
2021-09-20,136.95,137.78,135.12,137.5
2021-09-21,138.52,138.78,137.06,137.81
2021-09-22,138.08,139.65,137.33,139.05
2021-09-23,139.75,140.45,139.17,139.97
2021-09-24,139.3,141.08,139.01,140.97
2021-09-27,139.57,140.69,138.84,139.83
2021-09-28,137.44,137.87,134.17,134.64
2021-09-29,135.78,135.95,132.69,133.17
2021-09-30,133.08,134.35,132.38,132.5
2021-10-01,133.27,135.71,132.89,135.34
2021-10-04,134.77,134.77,129.9,132.48
2021-10-05,132.86,136.02,132.86,134.83
2021-10-06,133.57,136.54,133.37,136.36
2021-10-07,137.67,138.81,137.43,138.0
2021-10-08,138.35,139.1,137.99,138.56
2021-10-11,138.07,139.48,137.64,137.69
2021-10-12,138.25,138.28,134.57,135.25
2021-10-13,136.19,136.79,135.32,136.37
2021-10-14,138.25,140.1,137.6,139.91
2021-10-15,140.37,140.47,139.52,140.13
2021-10-18,139.84,141.54,139.83,141.52
2021-10-19,142.13,142.4,141.35,141.98
2021-10-20,142.08,142.28,140.13,140.52
2021-10-21,140.52,140.91,139.27,140.64
2021-10-22,137.93,139.35,134.86,136.36
2021-10-25,136.34,136.79,134.23,136.24
2021-10-26,138.04,138.85,137.09,138.08
2021-10-27,138.18,147.34,138.18,144.93
2021-10-28,145.84,145.86,143.36,144.57
2021-10-29,143.8,146.94,143.38,146.74
2021-11-01,146.74,146.74,141.97,142.24
2021-11-02,143.31,145.32,143.07,144.15
2021-11-03,144.62,145.38,143.32,145.31
2021-11-04,145.83,148.42,145.02,146.96
2021-11-05,147.86,149.01,146.89,147.54
2021-11-08,148.51,149.29,147.13,147.72
2021-11-09,147.92,148.52,145.95,147.61
2021-11-10,146.2,146.77,143.27,144.61
