Date,Open,High,Low,Close
2021-06-22,329.79,336.96,329.7,336.08
2021-06-23,336.4,340.43,335.26,337.63
2021-06-24,338.87,341.9,338.81,340.19
2021-06-25,339.61,341.12,336.72,338.4
2021-06-28,339.48,355.02,338.79,352.54
2021-06-29,353.17,353.63,346.01,348.83
2021-06-30,349.1,349.85,344.15,344.68
2021-07-01,343.8,351.58,343.48,351.31
2021-07-02,352.01,353.34,349.55,351.61
2021-07-06,353.4,355.67,346.14,349.71
2021-07-07,352.17,353.39,346.95,347.44
2021-07-08,342.72,345.3,339.58,342.64
2021-07-09,342.31,347.66,342.26,347.37
2021-07-12,348.17,351.11,346.6,350.09
2021-07-13,348.44,355.37,345.76,349.03
2021-07-14,351.47,352.11,343.71,344.6
2021-07-15,346.19,346.19,337.26,341.46
2021-07-16,341.91,342.98,337.18,338.19
2021-07-19,334.63,336.83,331.63,334.02
2021-07-20,335.85,340.46,331.59,338.69
2021-07-21,338.53,343.5,338.28,343.22
2021-07-22,343.66,348.48,342.2,348.13
2021-07-23,357.77,372.06,354.08,366.57
2021-07-26,366.36,371.18,365.01,369.22
2021-07-27,368.67,369.9,361.38,364.61
2021-07-28,371.3,374.26,363.74,370.03
2021-07-29,357.86,362.34,353.63,355.2
2021-07-30,350.92,357.59,349.87,353.2
2021-08-02,354.98,356.27,347.69,348.89
2021-08-03,349.66,350.69,344.67,348.18
2021-08-04,349.35,357.34,348.45,355.8
2021-08-05,356.51,360.73,353.79,359.81
2021-08-06,358.25,361.97,358.25,360.35
2021-08-09,360.59,362.6,357.61,358.46
2021-08-10,358.68,360.93,355.91,357.99
2021-08-11,358.95,359.21,354.7,356.83
2021-08-12,355.33,359.84,354.0,359.49
2021-08-13,359.81,361.49,358.33,360.02
2021-08-16,359.36,363.76,354.27,363.37
2021-08-17,359.82,361.5,351.98,355.33
2021-08-18,353.15,356.73,352.06,352.36
2021-08-19,348.29,354.46,347.94,352.03
2021-08-20,351.51,356.86,350.23,356.24
2021-08-23,356.31,362.51,355.97,360.19
2021-08-24,360.49,364.76,358.69,362.33
2021-08-25,362.42,367.63,362.22,365.18
2021-08-26,365.17,366.22,360.96,361.21
2021-08-27,361.92,370.49,360.91,369.39
2021-08-30,369.32,378.17,367.29,377.35
2021-08-31,376.64,379.43,375.5,376.08
2021-09-01,376.29,380.98,375.51,378.72
2021-09-02,378.18,378.43,370.8,372.01
2021-09-03,371.49,373.88,369.86,372.98
2021-09-07,372.61,379.63,369.9,378.85
2021-09-08,376.85,377.55,371.53,374.28
2021-09-09,374.35,376.52,373.29,374.71
2021-09-10,378.04,380.45,374.97,375.39
2021-09-13,378.36,378.43,371.09,373.23
2021-09-14,374.11,375.29,371.84,373.25
2021-09-15,373.72,374.27,364.47,370.67
2021-09-16,369.54,370.31,366.49,369.81
2021-09-17,368.18,368.18,358.44,361.55
2021-09-20,356.17,357.89,346.75,352.6
2021-09-21,355.38,356.91,352.1,354.37
2021-09-22,344.21,346.79,337.72,340.22
2021-09-23,342.35,346.63,340.01,342.95
2021-09-24,340.25,351.27,339.39,349.89
2021-09-27,346.76,352.06,344.06,350.5
2021-09-28,344.94,346.56,335.97,337.68
2021-09-29,340.16,342.22,335.93,336.65
2021-09-30,337.49,339.82,335.21,336.44
2021-10-01,338.64,342.02,335.69,340.02
2021-10-04,332.61,333.02,319.89,323.39
2021-10-05,325.72,332.26,323.32,330.06
2021-10-06,326.87,331.47,322.96,330.74
2021-10-07,334.07,335.89,326.12,326.35
2021-10-08,328.62,330.5,325.85,327.18
2021-10-11,324.78,327.58,322.48,322.62
2021-10-12,320.22,321.56,314.61,320.95
2021-10-13,324.12,324.15,319.85,321.71
2021-10-14,325.5,327.64,324.25,325.67
2021-10-15,325.82,326.21,319.7,321.93
2021-10-18,326.09,332.97,324.65,332.42
2021-10-19,336.69,339.48,334.34,337.03
2021-10-20,340.46,340.99,336.5,337.81
2021-10-21,337.32,339.33,334.86,338.9
2021-10-22,323.51,326.76,318.31,321.78
2021-10-25,317.51,326.69,316.94,325.83
2021-10-26,325.4,327.34,306.9,313.06
2021-10-27,311.45,316.47,309.34,309.5
2021-10-28,310.27,322.69,305.43,314.16
2021-10-29,317.4,323.16,316.82,320.75
2021-11-01,323.2,330.55,323.16,327.11
2021-11-02,328.5,331.88,320.98,325.22
2021-11-03,324.64,329.26,320.39,328.73
2021-11-04,331.1,334.33,329.75,332.93
2021-11-05,337.35,343.77,336.68,338.16
2021-11-08,341.42,341.79,335.39,335.67
2021-11-09,337.04,338.34,331.56,332.45
2021-11-10,329.6,330.29,322.68,324.79
2021-11-11,326.95,329.57,324.15,324.89
2021-11-12,327.31,338.88,326.91,337.92
2021-11-15,341.34,350.57,340.21,344.53
2021-11-16,340.84,343.63,337.9,339.97
2021-11-17,341.24,344.28,337.14,337.8
2021-11-18,336.76,339.48,332.38,335.74
2021-11-19,339.22,349.03,336.94,342.29
2021-11-22,346.01,350.75,337.55,338.04
2021-11-23,335.98,338.43,330.6,334.31
2021-11-24,333.08,338.8,329.91,338.09
2021-11-26,332.88,334.81,329.01,330.22
2021-11-29,333.96,337.7,332.39,335.09
2021-11-30,332.08,332.89,320.61,321.64
2021-12-01,327.41,327.62,307.59,307.9
2021-12-02,308.69,311.86,304.53,307.69
2021-12-03,311.0,311.02,296.89,304.17
2021-12-06,305.45,317.31,303.67,315.1
2021-12-07,318.77,323.7,318.21,320.0
2021-12-08,322.17,329.85,320.26,327.68
2021-12-09,326.67,333.2,325.14,326.95
2021-12-10,329.67,332.11,323.53,326.88
2021-12-13,328.07,338.12,326.72,331.58
2021-12-14,325.19,332.78,324.8,330.83
2021-12-15,329.6,339.13,321.16,338.69
2021-12-16,336.03,341.46,330.83,331.98
2021-12-17,329.9,334.18,327.87,330.88
2021-12-20,326.91,327.03,319.72,322.62
2021-12-21,323.57,333.08,320.93,331.29
2021-12-22,330.89,331.6,325.4,327.57
2021-12-23,327.23,333.74,325.5,332.32
2021-12-27,335.9,344.84,335.07,343.17
2021-12-28,343.61,349.64,342.19,343.21
2021-12-29,343.89,346.65,338.67,339.95
2021-12-30,341.01,344.21,340.23,341.36
2021-12-31,340.03,340.45,333.34,333.42
2022-01-03,335.36,338.11,334.25,335.59
2022-01-04,336.99,340.1,328.98,333.6
2022-01-05,330.12,332.84,321.02,321.35
2022-01-06,320.01,336.22,319.91,329.57
2022-01-07,329.84,334.07,326.02,328.9
2022-01-10,322.48,325.48,312.68,325.21
2022-01-11,323.94,331.72,322.45,331.46
2022-01-12,332.26,333.44,327.16,330.36
2022-01-13,332.06,332.71,322.92,323.64
2022-01-14,318.99,329.83,318.41,329.01
2022-01-18,320.48,321.39,314.87,315.38
2022-01-19,316.8,324.25,316.55,316.81
2022-01-20,321.08,324.97,313.23,313.8
2022-01-21,312.07,315.54,300.4,300.53
2022-01-24,295.25,306.84,286.49,306.02
2022-01-25,297.34,303.56,294.99,297.54
2022-01-26,304.34,304.83,288.32,292.07
2022-01-27,295.16,299.08,291.7,292.08
2022-01-28,293.05,299.27,290.48,299.08
2022-01-31,298.06,311.06,296.71,310.53
2022-02-01,311.82,316.88,309.4,316.22
2022-02-02,324.97,325.14,314.11,320.19
2022-02-03,242.52,245.84,233.7,235.69
2022-02-04,232.92,240.5,228.11,235.03
2022-02-07,235.63,236.23,222.06,222.95
2022-02-08,218.93,223.8,214.27,218.26
2022-02-09,222.25,231.34,220.28,229.98
2022-02-10,226.28,232.95,224.73,226.08
2022-02-11,226.47,228.41,216.87,217.64
2022-02-14,217.4,219.08,212.91,215.8
2022-02-15,218.55,219.22,213.19,219.08
2022-02-16,210.56,215.57,210.51,214.65
2022-02-17,212.16,215.61,205.36,205.9
2022-02-18,207.57,208.92,203.39,204.37
2022-02-22,200.58,205.67,198.32,200.32
2022-02-23,202.38,205.14,196.33,196.72
2022-02-24,189.4,206.54,188.56,205.79
2022-02-25,203.16,209.48,201.41,208.65
2022-02-28,205.87,211.29,205.03,209.19
2022-03-01,208.04,209.91,200.46,201.72
2022-03-02,203.0,207.33,200.26,206.3
2022-03-03,207.2,207.26,199.67,201.2
2022-03-04,200.61,204.1,197.06,198.32
2022-03-07,199.04,199.14,185.65,185.84
2022-03-08,186.21,194.99,184.49,188.63
2022-03-09,194.04,197.37,192.23,196.77
2022-03-10,193.14,194.57,189.41,193.51
2022-03-11,190.96,191.88,185.05,185.98
2022-03-14,185.4,190.62,184.2,185.01
2022-03-15,189.14,190.61,184.29,190.36
2022-03-16,193.01,201.96,192.83,201.86
2022-03-17,199.94,206.23,199.36,206.03
2022-03-18,204.9,214.91,204.21,214.61
2022-03-21,212.63,212.84,205.82,209.65
2022-03-22,209.53,217.55,208.35,214.76
2022-03-23,211.47,214.91,210.31,211.6
2022-03-24,213.13,218.75,212.92,217.66
2022-03-25,218.59,223.54,216.98,219.89
2022-03-28,220.2,222.09,217.63,221.64
2022-03-29,224.1,228.88,223.33,227.86
2022-03-30,226.92,229.14,224.74,225.87
2022-03-31,226.46,226.5,220.33,220.42
2022-04-01,222.6,225.3,220.76,222.89
2022-04-04,224.01,232.31,223.89,231.85
2022-04-05,232.04,234.8,229.01,229.82
2022-04-06,224.93,227.0,219.48,221.36
2022-04-07,221.98,223.56,216.66,221.01
2022-04-08,220.44,223.17,218.11,220.39
2022-04-11,216.52,218.69,213.35,214.58
2022-04-12,218.32,220.1,211.27,212.28
2022-04-13,209.98,214.72,209.49,213.12
2022-04-14,213.02,213.12,208.17,208.35
2022-04-18,208.17,211.52,206.49,208.94
2022-04-19,208.69,216.53,207.18,215.42
2022-04-20,211.75,212.3,197.19,198.68
2022-04-21,199.85,201.2,183.96,186.43
2022-04-22,188.71,191.04,181.67,182.51
2022-04-25,181.14,185.55,180.08,185.36
2022-04-26,185.01,185.56,177.94,179.37
2022-04-27,172.91,179.63,167.53,173.43
2022-04-28,201.15,206.71,191.22,203.94
2022-04-29,202.68,210.63,198.16,198.72
2022-05-02,199.42,210.04,199.24,209.29
2022-05-03,208.62,213.03,206.28,210.18
2022-05-04,208.82,222.35,205.16,221.47
2022-05-05,216.84,218.25,204.37,206.47
2022-05-06,205.54,207.56,199.27,202.0
2022-05-09,198.1,200.81,193.88,194.5
2022-05-10,197.77,201.19,192.5,195.93
2022-05-11,194.62,198.92,186.63,187.1
2022-05-12,185.43,196.33,183.17,189.58
2022-05-13,190.9,198.15,189.61,196.89
2022-05-16,195.33,203.58,194.22,198.3
2022-05-17,200.36,203.67,196.63,200.86
2022-05-18,198.26,199.25,189.96,190.57
2022-05-19,189.54,193.59,187.95,189.62
2022-05-20,193.27,196.19,186.23,191.86
2022-05-23,193.49,195.28,189.58,194.52
2022-05-24,178.98,182.08,174.58,179.7
2022-05-25,178.83,183.84,177.76,182.23
2022-05-26,181.29,191.15,180.67,189.96
2022-05-27,189.69,193.63,188.15,193.43
2022-05-31,193.19,195.88,190.34,191.95
2022-06-01,194.8,197.79,183.39,187.0
2022-06-02,186.81,199.19,186.1,197.13
2022-06-03,194.27,194.9,188.13,189.12
2022-06-06,192.3,195.21,186.76,192.56
2022-06-07,190.26,194.82,189.82,193.95
2022-06-08,192.98,200.27,192.72,194.93
2022-06-09,192.59,197.71,182.08,182.4
2022-06-10,181.45,181.51,173.5,174.04
2022-06-13,169.1,171.08,162.6,162.83
2022-06-14,164.58,165.3,159.96,162.3
2022-06-15,165.74,170.66,162.55,167.88
2022-06-16,162.29,163.64,158.22,159.47
2022-06-17,160.27,164.46,158.51,162.31
2022-06-21,164.49,166.3,154.61,155.68
2022-06-22,157.0,159.39,154.09,154.49
2022-06-23,154.91,158.36,152.91,157.37
2022-06-24,160.32,168.77,159.9,168.68
2022-06-27,169.83,170.25,166.55,168.01
2022-06-28,168.42,169.81,159.21,159.28
2022-06-29,162.15,164.88,158.92,162.51
2022-06-30,160.74,163.79,157.11,159.85
2022-07-01,158.91,159.22,153.65,158.64
2022-07-05,156.76,166.79,155.65,166.73
2022-07-06,166.74,170.1,164.02,168.29
2022-07-07,167.97,171.22,166.32,170.69
2022-07-08,168.5,170.9,166.69,169.39
2022-07-11,165.62,166.03,160.5,161.46
2022-07-12,163.37,164.47,160.69,161.85
2022-07-13,158.77,163.54,158.22,162.07
2022-07-14,159.82,161.17,155.91,156.67
2022-07-15,159.14,163.54,158.43,163.27
2022-07-18,165.3,170.2,164.2,165.77
2022-07-19,168.89,174.95,168.03,174.25
