Date,Open,High,Low,Close
2021-06-22,252.13,255.08,251.82,254.81
2021-06-23,255.27,256.08,253.77,254.58
2021-06-24,255.43,257.05,254.77,255.94
2021-06-25,255.5,256.48,254.09,254.34
2021-06-28,255.46,258.06,255.19,257.89
2021-06-29,258.03,260.7,257.18,260.46
2021-06-30,259.78,260.42,258.73,259.98
2021-07-01,258.74,260.88,258.73,260.65
2021-07-02,261.82,266.8,261.52,266.46
2021-07-06,266.82,268.11,263.24,266.47
2021-07-07,268.14,269.38,265.98,268.65
2021-07-08,265.74,267.5,263.79,266.24
2021-07-09,264.61,266.84,264.22,266.74
2021-07-12,267.91,268.49,265.43,266.14
2021-07-13,266.34,271.45,266.21,269.66
2021-07-14,270.97,272.23,269.24,271.12
2021-07-15,270.63,271.12,268.55,269.7
2021-07-16,270.7,272.65,268.2,269.43
2021-07-19,267.69,269.07,263.39,265.85
2021-07-20,266.82,269.65,265.13,268.06
2021-07-21,267.66,270.17,266.11,270.06
2021-07-22,272.4,274.88,272.0,274.61
2021-07-23,275.79,278.3,274.95,278.0
2021-07-26,277.35,278.01,275.09,277.4
2021-07-27,277.76,277.91,271.55,274.99
2021-07-28,277.34,278.46,272.39,274.68
2021-07-29,274.7,276.99,274.55,274.95
2021-07-30,273.68,275.11,272.47,273.43
2021-08-02,274.82,275.21,272.3,273.34
2021-08-03,273.92,275.65,272.55,275.55
2021-08-04,274.68,276.0,273.18,274.96
2021-08-05,275.32,277.96,274.57,277.85
2021-08-06,276.88,277.83,276.03,277.79
2021-08-09,278.07,279.8,276.21,276.71
2021-08-10,277.16,277.59,273.71,274.9
2021-08-11,275.63,277.03,274.34,275.38
2021-08-12,275.08,278.28,274.8,278.13
2021-08-13,277.81,281.1,277.64,281.05
2021-08-16,281.37,282.94,278.33,282.73
2021-08-17,280.61,281.6,279.35,281.27
2021-08-18,280.81,283.48,279.1,279.55
2021-08-19,277.59,286.03,277.54,285.35
2021-08-20,288.19,294.08,286.59,292.65
2021-08-23,291.59,293.65,290.24,292.93
2021-08-24,293.29,293.89,290.38,290.98
2021-08-25,292.59,292.87,288.86,290.39
2021-08-26,289.41,290.8,287.45,287.59
2021-08-27,287.49,289.3,285.41,288.19
2021-08-30,289.54,292.52,289.48,291.91
2021-08-31,292.71,292.79,289.9,290.27
2021-09-01,291.22,293.45,289.89,290.22
2021-09-02,290.58,291.69,288.63,289.57
2021-09-03,289.41,290.96,288.71,289.56
2021-09-07,289.43,289.51,286.73,288.63
2021-09-08,288.25,289.05,286.03,288.66
2021-09-09,289.25,290.52,285.58,285.82
2021-09-10,286.94,288.38,284.02,284.34
2021-09-13,286.1,287.06,282.77,285.57
2021-09-14,288.04,289.8,286.63,288.26
2021-09-15,291.59,293.58,290.21,293.09
2021-09-16,292.08,293.57,289.19,293.48
2021-09-17,292.47,292.79,288.01,288.34
2021-09-20,284.93,287.23,278.38,282.98
2021-09-21,284.32,286.09,282.76,283.46
2021-09-22,285.32,288.67,283.18,287.09
2021-09-23,287.35,289.33,286.09,288.04
2021-09-24,286.76,288.27,285.51,287.84
2021-09-27,284.75,285.07,281.67,282.85
2021-09-28,278.65,279.59,271.87,272.61
2021-09-29,274.13,275.74,272.12,273.08
2021-09-30,274.72,276.76,270.79,271.08
2021-10-01,271.27,278.83,270.47,277.98
2021-10-04,276.34,276.68,269.47,272.22
2021-10-05,273.12,279.23,273.12,277.65
2021-10-06,274.79,282.34,274.53,281.84
