Date,Open,High,Low,Close
2025-06-23,474.42,483.88,468.77,482.15
2025-06-24,485.08,487.95,482.94,486.23
2025-06-25,488.14,490.64,485.51,488.37
2025-06-26,489.07,494.09,488.9,493.51
2025-06-27,493.61,495.34,489.12,492.01
2025-06-30,493.1,496.79,491.4,493.47
2025-07-01,492.54,494.1,487.09,488.15
2025-07-02,486.11,489.59,484.83,487.2
2025-07-03,489.9,496.17,489.53,494.89
2025-07-07,493.44,494.8,491.31,493.78
2025-07-08,493.3,494.25,490.19,492.68
2025-07-09,496.34,502.76,495.78,499.52
2025-07-10,499.06,500.44,493.81,497.51
2025-07-11,494.52,501.03,493.86,499.33
2025-07-14,497.55,499.98,497.06,499.03
2025-07-15,499.03,504.27,498.81,501.81
2025-07-16,501.18,502.7,497.91,501.61
2025-07-17,501.67,509.3,501.61,507.65
2025-07-18,510.4,510.56,503.41,506.01
2025-07-21,502.69,508.03,501.54,506.02
2025-07-22,506.92,507.15,501.27,501.27
2025-07-23,502.73,502.77,496.73,501.86
2025-07-24,504.74,509.6,503.28,506.83
2025-07-25,508.41,514.18,506.32,509.64
2025-07-28,510.01,510.92,506.08,508.44
2025-07-29,511.44,513.52,507.51,508.51
2025-07-30,511.09,511.86,505.4,509.17
2025-07-31,550.83,551.05,527.69,529.27
2025-08-01,530.76,531.55,516.73,519.96
2025-08-04,524.08,533.98,523.94,531.4
2025-08-05,532.92,533.04,523.06,523.57
2025-08-06,526.69,527.49,519.88,520.78
2025-08-07,522.63,523.91,513.45,516.71
2025-08-08,518.46,520.5,515.29,517.9
2025-08-11,518.16,523.41,515.6,517.64
2025-08-12,519.6,526.77,518.56,525.05
2025-08-13,527.89,528.48,515.25,516.45
2025-08-14,518.42,521.78,516.02,518.34
2025-08-15,518.63,521.93,514.97,516.05
2025-08-18,517.46,518.68,509.95,513.0
2025-08-19,510.92,511.08,504.52,505.73
2025-08-20,505.83,506.95,500.44,501.71
2025-08-21,500.52,504.44,499.56,501.07
2025-08-22,501.08,507.52,499.25,504.04
2025-08-25,503.44,504.99,500.95,501.09
2025-08-26,501.19,501.8,495.37,498.88
2025-08-27,498.84,504.1,496.75,503.55
2025-08-28,503.9,507.87,502.32,506.43
2025-08-29,505.46,506.39,501.32,503.5
2025-09-02,497.32,502.82,493.68,501.94
2025-09-03,500.62,504.59,499.16,502.17
2025-09-04,501.13,504.95,499.98,504.77
2025-09-05,505.87,508.75,489.27,491.88
2025-09-08,494.98,498.05,491.91,495.06
2025-09-09,498.27,499.09,494.57,495.27
2025-09-10,499.81,500.06,493.59,497.22
2025-09-11,499.09,500.0,494.75,497.86
2025-09-12,503.46,509.32,500.68,506.69
2025-09-15,505.59,512.23,503.81,512.12
2025-09-16,513.63,513.97,505.4,505.84
2025-09-17,507.41,508.07,502.75,506.81
2025-09-18,508.27,509.84,504.47,505.25
