Date,Open,High,Low,Close
2021-06-22,18.41,18.9,18.32,18.82
2021-06-23,18.94,19.09,18.84,18.99
2021-06-24,19.16,19.35,19.02,19.14
2021-06-25,19.21,19.28,18.83,18.97
2021-06-28,19.29,20.01,19.25,19.92
2021-06-29,19.81,20.03,19.59,19.96
2021-06-30,19.93,20.09,19.8,19.93
2021-07-01,20.06,20.39,19.95,20.14
2021-07-02,20.37,20.43,20.22,20.42
2021-07-06,20.67,20.77,20.28,20.63
2021-07-07,20.78,20.8,20.26,20.3
2021-07-08,19.79,20.06,19.63,19.83
2021-07-09,19.89,20.01,19.69,19.98
2021-07-12,20.17,20.46,20.12,20.44
2021-07-13,20.33,20.39,20.04,20.18
2021-07-14,20.29,20.35,19.68,19.77
2021-07-15,19.74,19.78,18.79,18.9
2021-07-16,18.96,19.09,18.01,18.1
2021-07-19,17.85,18.98,17.8,18.72
2021-07-20,18.67,18.77,18.1,18.55
2021-07-21,18.82,19.46,18.68,19.34
2021-07-22,19.57,19.82,19.21,19.53
2021-07-23,19.59,19.63,19.18,19.49
2021-07-26,19.24,19.37,18.85,19.23
2021-07-27,19.2,19.55,18.68,19.14
2021-07-28,19.25,19.58,18.93,19.44
2021-07-29,19.45,19.78,19.26,19.59
2021-07-30,19.35,19.56,19.2,19.43
2021-08-02,19.63,19.89,19.29,19.68
2021-08-03,19.67,20.15,19.15,19.75
2021-08-04,19.92,20.25,19.76,20.2
2021-08-05,20.43,20.66,20.27,20.57
2021-08-06,20.45,20.5,20.14,20.3
2021-08-09,20.38,20.44,20.07,20.23
2021-08-10,20.25,20.36,19.77,19.87
2021-08-11,19.97,19.98,19.36,19.63
2021-08-12,19.8,19.96,19.55,19.84
2021-08-13,19.84,20.14,19.78,20.12
2021-08-16,20.07,20.22,19.39,19.88
2021-08-17,19.62,19.7,19.2,19.39
2021-08-18,19.43,19.57,18.93,18.97
2021-08-19,19.43,20.42,18.7,19.73
2021-08-20,19.92,20.79,19.86,20.74
2021-08-23,20.9,21.92,20.88,21.88
2021-08-24,21.68,21.88,21.46,21.72
2021-08-25,21.66,22.39,21.65,22.14
2021-08-26,22.12,22.26,21.71,21.99
2021-08-27,22.11,22.64,22.09,22.56
2021-08-30,22.75,22.96,22.47,22.61
2021-08-31,22.62,22.62,22.05,22.31
2021-09-01,22.41,22.62,22.28,22.37
2021-09-02,22.44,22.52,22.22,22.32
2021-09-03,22.25,22.91,22.13,22.77
2021-09-07,22.76,22.82,22.45,22.59
2021-09-08,22.44,22.54,21.91,22.27
2021-09-09,22.24,22.46,22.06,22.1
2021-09-10,22.27,22.55,22.2,22.4
2021-09-13,22.61,22.89,21.79,22.08
2021-09-14,22.2,22.34,22.01,22.17
2021-09-15,22.24,22.29,21.89,22.27
2021-09-16,22.11,22.2,21.86,22.17
2021-09-17,22.23,22.25,21.76,21.83
2021-09-20,21.08,21.36,20.59,21.04
2021-09-21,21.35,21.35,20.88,21.18
2021-09-22,21.3,21.89,21.13,21.87
2021-09-23,22.07,22.46,21.82,22.41
2021-09-24,22.0,22.08,21.79,22.01
2021-09-27,21.64,21.73,21.26,21.59
2021-09-28,21.14,21.35,20.58,20.63
2021-09-29,20.87,20.95,20.4,20.45
2021-09-30,20.7,21.0,20.62,20.65
2021-10-01,20.68,20.79,20.14,20.67
2021-10-04,20.44,20.47,19.49,19.67
2021-10-05,19.88,20.58,19.79,20.38
2021-10-06,20.05,20.65,20.01,20.63
2021-10-07,21.02,21.25,20.9,21.01
2021-10-08,21.03,21.14,20.71,20.76
2021-10-11,20.51,20.99,20.44,20.63
2021-10-12,20.76,20.99,20.46,20.6
2021-10-13,20.85,20.92,20.65,20.87
2021-10-14,21.22,21.68,21.05,21.67
2021-10-15,21.74,21.86,21.59,21.79
2021-10-18,21.68,22.22,21.57,22.15
2021-10-19,22.2,22.31,21.96,22.22
2021-10-20,22.23,22.36,21.91,22.03
2021-10-21,22.02,22.64,22.01,22.62
2021-10-22,22.75,23.05,22.49,22.65
2021-10-25,22.9,23.28,22.7,23.09
2021-10-26,23.91,25.18,23.85,24.64
2021-10-27,24.39,25.01,24.2,24.37
2021-10-28,24.8,24.87,24.44,24.86
2021-10-29,24.92,25.62,24.92,25.48
2021-11-01,25.57,25.81,25.14,25.74
2021-11-02,25.74,26.59,25.72,26.31
2021-11-03,26.58,26.7,26.15,26.51
2021-11-04,27.14,31.26,27.03,29.7
2021-11-05,30.09,31.3,29.31,29.65
2021-11-08,30.05,31.0,29.81,30.7
2021-11-09,32.18,32.2,29.87,30.56
2021-11-10,29.26,30.75,28.68,29.36
2021-11-11,30.37,30.49,29.68,30.29
2021-11-12,29.91,30.58,29.53,30.29
2021-11-15,30.45,30.54,29.15,29.93
2021-11-16,29.66,30.29,29.61,30.1
2021-11-17,30.32,30.41,28.71,29.17
2021-11-18,32.26,32.65,31.22,31.57
2021-11-19,32.14,32.98,31.8,32.88
2021-11-22,33.41,34.53,31.8,31.85
2021-11-23,31.43,32.25,30.78,31.64
2021-11-24,31.36,32.75,30.83,32.57
2021-11-26,32.49,32.6,31.25,31.4
2021-11-29,32.26,33.3,31.93,33.27
2021-11-30,33.06,33.24,31.76,32.57
2021-12-01,33.11,33.18,31.28,31.34
2021-12-02,31.12,32.38,30.93,32.02
2021-12-03,31.9,32.03,30.04,30.6
2021-12-06,29.79,30.15,27.95,29.94
2021-12-07,30.86,32.35,30.55,32.32
2021-12-08,31.9,32.19,31.32,31.73
2021-12-09,31.63,32.1,30.33,30.39
2021-12-10,31.05,31.21,29.77,30.1
2021-12-13,30.15,30.2,28.03,28.07
2021-12-14,27.61,28.59,27.16,28.25
2021-12-15,28.31,30.4,27.75,30.36
2021-12-16,31.05,31.06,28.0,28.3
2021-12-17,27.9,28.83,27.67,27.71
2021-12-20,27.22,28.06,27.06,27.63
2021-12-21,28.28,29.03,27.31,28.98
2021-12-22,28.8,29.46,28.36,29.31
2021-12-23,29.66,29.96,29.34,29.55
2021-12-27,29.57,30.99,29.55,30.85
2021-12-28,31.21,31.23,29.92,30.23
2021-12-29,30.18,30.45,29.27,29.91
2021-12-30,29.73,30.36,29.45,29.49
2021-12-31,29.58,29.94,29.24,29.32
2022-01-03,29.72,30.61,29.69,30.03
2022-01-04,30.18,30.37,28.26,29.2
2022-01-05,28.86,29.32,27.45,27.52
2022-01-06,27.55,28.35,26.98,28.09
2022-01-07,28.05,28.33,26.97,27.16
2022-01-10,26.5,27.38,25.56,27.31
2022-01-11,27.24,27.98,26.75,27.73
2022-01-12,27.98,28.5,27.52,27.91
2022-01-13,28.29,28.39,26.41,26.49
2022-01-14,26.22,27.11,26.13,26.86
2022-01-18,26.18,26.55,25.69,25.82
2022-01-19,26.0,26.46,24.97,24.99
2022-01-20,25.22,25.5,24.0,24.07
2022-01-21,23.43,24.74,23.19,23.3
2022-01-24,22.26,23.31,20.82,23.3
2022-01-25,22.47,22.87,21.93,22.25
2022-01-26,23.17,23.98,22.23,22.7
2022-01-27,23.49,23.92,21.61,21.87
2022-01-28,21.94,22.79,21.23,22.77
2022-01-31,23.11,24.43,22.98,24.41
2022-02-01,25.02,25.07,23.81,24.56
2022-02-02,25.71,25.74,24.48,25.16
2022-02-03,24.38,25.0,23.71,23.87
2022-02-04,23.9,24.56,23.56,24.24
2022-02-07,24.3,25.1,24.13,24.65
2022-02-08,24.28,25.15,23.9,25.03
2022-02-09,25.54,26.64,25.27,26.62
2022-02-10,25.91,26.84,25.52,25.74
2022-02-11,25.83,26.07,23.7,23.87
2022-02-14,23.86,24.8,23.68,24.19
2022-02-15,24.87,26.46,24.71,26.41
2022-02-16,26.18,26.5,25.47,26.43
2022-02-17,25.55,25.7,24.09,24.43
2022-02-18,24.59,24.91,23.03,23.57
2022-02-22,22.96,23.99,22.93,23.32
2022-02-23,23.73,24.08,22.23,22.32
2022-02-24,20.95,23.73,20.82,23.67
2022-02-25,23.65,24.14,23.31,24.08
2022-02-28,23.92,24.59,23.63,24.31
2022-03-01,24.21,24.3,23.06,23.4
2022-03-02,23.69,24.34,23.35,24.15
2022-03-03,24.19,24.25,23.4,23.64
2022-03-04,23.31,23.61,22.42,22.87
2022-03-07,22.75,22.96,21.27,21.29
2022-03-08,21.25,22.31,20.59,21.45
2022-03-09,22.32,23.15,22.18,22.95
2022-03-10,22.46,22.72,21.82,22.59
2022-03-11,22.95,23.08,21.98,22.03
2022-03-14,21.8,22.2,21.1,21.27
2022-03-15,21.45,22.97,21.26,22.9
2022-03-16,23.43,24.52,23.1,24.42
2022-03-17,24.05,24.77,23.83,24.69
2022-03-18,24.73,26.49,24.55,26.37
2022-03-21,26.43,27.07,25.89,26.65
2022-03-22,26.65,27.16,25.99,26.44
2022-03-23,26.05,26.53,25.5,25.56
2022-03-24,26.09,28.24,25.83,28.07
2022-03-25,27.8,28.27,27.19,27.61
2022-03-28,27.67,28.17,27.12,28.13
2022-03-29,28.61,28.86,27.9,28.57
2022-03-30,28.22,28.41,27.42,27.61
2022-03-31,27.7,28.16,27.19,27.2
2022-04-01,27.29,27.41,26.19,26.63
2022-04-04,26.65,27.48,26.53,27.28
2022-04-05,27.17,27.24,25.74,25.85
2022-04-06,24.86,25.22,23.93,24.33
2022-04-07,24.37,24.65,23.41,24.14
2022-04-08,23.85,23.85,22.99,23.05
2022-04-11,22.15,22.25,21.6,21.85
2022-04-12,22.47,22.66,21.22,21.44
2022-04-13,21.66,22.43,21.39,22.14
2022-04-14,22.44,22.71,21.1,21.19
2022-04-18,21.14,22.02,21.02,21.72
2022-04-19,21.66,22.31,21.25,22.13
2022-04-20,22.45,22.6,21.14,21.42
2022-04-21,21.64,22.33,19.94,20.12
2022-04-22,20.24,20.42,19.44,19.46
